category,title,date,authors,url
Flashbots Writings,Why Location Choice Matters,2026-08-08,"Burak Öz, Fei Wu, Luis Correia, Sen Yang, Bruno Mazorra",https://writings.flashbots.net/why-location-choice-matters
Academic Papers,The Price of Decentralization in Block Building,2026-06-01,"Burak Öz (Flashbots), Fei Wu (Flashbots), Luis Correia (Flashbots), Sen Yang (Flashbots), Bruno Mazorra (Flashbots), Stefanos Leonardos",https://arxiv.org/abs/2606.01874
Academic Papers,Just-in-Time Resale in an Ahead-of-Time Auction: An Event Study,2026-03-23,"Burak Öz (Flashbots), Christoph Schlegel (Flashbots), Akaki Mamageishvili",https://arxiv.org/abs/2603.20175
Flashbots Collective Forum Posts,Timing Games: Probabilistic backrunning and spam,2026-03-13,"Bruno Mazorra (Flashbots), Christoph Schlegel (Flashbots), Akaki Mamageishvili",https://collective.flashbots.net/t/timing-games-probabilistic-backrunning-and-spam/5614
Academic Papers,Timing Games: Probabilistic Backrunning and Spam,2026-02-25,"Bruno Mazorra (Flashbots), Christoph Schlegel (Flashbots), Akaki Mamageishvili",https://arxiv.org/abs/2602.22032
Flashbots Writings,Network Anonymized Mempools,2026-02-17,,https://writings.flashbots.net/network-anonymized-mempools
Academic Papers,Geographical Centralization Resilience in Ethereum’s Block-Building Paradigms,2026-01-19,"Sen Yang, Burak Öz (Flashbots), Fei Wu, Fan Zhang",https://arxiv.org/abs/2509.21475
Academic Papers,The CoinAlg Bind: Profitability-Fairness Tradeoffs in Collective Investment Algorithms,2026-01-02,"Andrés Fábrega, James Austgen, Samuel Breckenridge, Jay Yu, Amy Zhao, Sarah Allen (Flashbots), Aditya Saraf, Ari Juels",https://arxiv.org/abs/2601.00523
Flashbots Collective Forum Posts,A Consensus Layer Client Diversity Snapshot,2025-12-18,Data Always,https://collective.flashbots.net/t/a-consensus-layer-client-diversity-snapshot/5431
Flashbots Collective Forum Posts,How the MEV Supply Chain Reacts to Circuit Breakers,2025-12-16,Data Always,https://collective.flashbots.net/t/how-the-mev-supply-chain-reacts-to-circuit-breakers/5439
ethresear.ch Post,Trustless Payments,2025-12-10,"Bruno Mazorra, Christoph Schlegel, Quintus Kilbourn, Burak Öz, Luis Correia",https://ethresear.ch/t/trustless-payments/23635
Academic Papers,Time/Space Tradeoffs for Generic Attacks on Delay Functions,2025-12-05,"Kasper Green Larsen, Mark Simkin (Flashbots)",https://link.springer.com/chapter/10.1007/978-3-032-12290-2_15
